ymd,category,addr,notes,count
2016/02/12,器物損壊,西初石3丁目,,1
2016/02/12,その他犯罪,流山9丁目,,1
2016/02/13,自転車盗,向小金2丁目,,1
2016/02/14,オートバイ盗,南流山6丁目,,1
2016/02/14,オートバイ盗,南流山6丁目,未遂,1
2016/02/14,その他犯罪,西初石4丁目,,1
2016/02/15,空き巣,南流山7丁目,戸建2件,1
2016/02/15,非侵入窃盗,江戸川台東3丁目,,1
2016/02/16,空き巣,南流山7丁目,,1
2016/02/16,その他侵入盗,大字木,2件,1
2016/02/16,自転車盗,西初石3丁目,,1
2016/02/16,非侵入窃盗,大字木,,1
2016/02/16,万引き,大字西平井,,1
2016/02/17,オートバイ盗,南流山6丁目,,1
2016/02/17,車上ねらい,大字西平井,,1
2016/02/17,空き巣,十太夫,集合住宅,1
2016/02/17,暴行,江戸川台西1丁目,,1
2016/02/18,自転車盗,流山9丁目,,1
2016/02/18,傷害,平和台4丁目,,1
2016/02/19,自転車盗,西初石2丁目,,1
2016/02/20,自転車盗,流山9丁目,,1
2016/02/20,非侵入窃盗,大字東深井,,1
2016/02/20,非侵入窃盗,西初石6丁目,,1
2016/02/21,その他侵入盗,美田,,1
2016/02/22,自転車盗,流山8丁目,,1
2016/02/23,強盗,西初石4丁目,,1
2016/02/23,万引き,西初石6丁目,,1
2016/02/24,非侵入盗,向小金2丁目,,1
2016/02/24,横領,鰭ヶ崎,,1
2016/02/25,オートバイ盗,大字三輪野山1丁目,,1
2016/02/25,自転車盗,前ヶ崎,,1
2016/02/25,器物損壊,市野谷,,1
2016/02/25,住居侵入,流山8丁目,,1
2016/02/25,非侵入窃盗,青田,,1
2016/02/26,その他侵入盗,美原3丁目,,1
2016/02/26,万引き,美原2丁目,,1
2016/02/26,建造物侵入,向小金1丁目,,1
2016/02/27,器物損壊,松ヶ丘5丁目,,1
2016/02/27,器物損壊,松ヶ丘6丁目,,1
2016/02/28,自転車盗,南流山6丁目,,1
2016/02/28,万引き,西初石6丁目,,1
